Logged started on,28/11/2021 11:33:17
Feature,Accelerometer
Nodes,AM1V330 @393B30

Date,HostTimestamp,NodeName,NodeTimestamp,RawData,X (mg),Y (mg),Z (mg)
28/11/2021 11:38:11.654,293829,AM1V330 @393B30,38621,71FD140236FE,-655,532,-458
28/11/2021 11:38:11.714,293881,AM1V330 @393B30,38627,26FD9502CDFD,-730,661,-563
28/11/2021 11:38:11.775,293941,AM1V330 @393B30,38633,32FD450283FD,-718,581,-637
28/11/2021 11:38:11.804,293970,AM1V330 @393B30,38639,41FD9902A9FD,-703,665,-599
28/11/2021 11:38:11.865,294031,AM1V330 @393B30,38646,99FDD202AAFD,-615,722,-598
28/11/2021 11:38:11.894,294060,AM1V330 @393B30,38652,7DFD90027AFD,-643,656,-646
28/11/2021 11:38:11.955,294121,AM1V330 @393B30,38658,7FFD1703E9FD,-641,791,-535
28/11/2021 11:38:12.015,294181,AM1V330 @393B30,38664,7CFDB002B9FD,-644,688,-583
28/11/2021 11:38:12.044,294210,AM1V330 @393B30,38671,92FDD90208FD,-622,729,-760
28/11/2021 11:38:12.105,294271,AM1V330 @393B30,38677,C9FD5E03BBFC,-567,862,-837
28/11/2021 11:38:12.164,294331,AM1V330 @393B30,38683,92FD520392FC,-622,850,-878
28/11/2021 11:38:12.195,294361,AM1V330 @393B30,38689,07FE360335FC,-505,822,-971
28/11/2021 11:38:12.255,294421,AM1V330 @393B30,38696,B7FD0C0367FB,-585,780,-1177
28/11/2021 11:38:12.315,294481,AM1V330 @393B30,38702,0FFE350357FB,-497,821,-1193
28/11/2021 11:38:12.344,294510,AM1V330 @393B30,38708,ABFE500328FB,-341,848,-1240
28/11/2021 11:38:12.405,294571,AM1V330 @393B30,38714,17FF0D02CCFB,-233,525,-1076
28/11/2021 11:38:12.465,294631,AM1V330 @393B30,38721,C2FF2002AEFC,-62,544,-850
28/11/2021 11:38:12.494,294660,AM1V330 @393B30,38727,3F008C0164FD,63,396,-668
28/11/2021 11:38:12.555,294722,AM1V330 @393B30,38733,F900390156FE,249,313,-426
28/11/2021 11:38:12.615,294782,AM1V330 @393B30,38739,4501EA0019FF,325,234,-231
28/11/2021 11:38:12.644,294810,AM1V330 @393B30,38746,BE0116015700,446,278,87
28/11/2021 11:38:12.704,294870,AM1V330 @393B30,38752,8E017D000902,398,125,521
28/11/2021 11:38:12.764,294931,AM1V330 @393B30,38758,50017C004203,336,124,834
28/11/2021 11:38:12.794,294960,AM1V330 @393B30,38764,5A016301B202,346,355,690
