Logged started on,28/11/2021 11:33:17
Feature,Gyroscope
Nodes,AM1V330 @393B30

Date,HostTimestamp,NodeName,NodeTimestamp,RawData,X (dps),Y (dps),Z (dps)
28/11/2021 11:37:42.764,264942,AM1V330 @393B30,35008,A8003E008300,16.8,6.2,13.1
28/11/2021 11:37:42.793,264959,AM1V330 @393B30,35014,E7006A008500,23.1,10.6,13.3
28/11/2021 11:37:42.854,265021,AM1V330 @393B30,35021,F600A4006E00,24.6,16.4,11
28/11/2021 11:37:42.914,265081,AM1V330 @393B30,35027,82007B005100,13,12.3,8.1
28/11/2021 11:37:42.943,265109,AM1V330 @393B30,35033,CB004F006D00,20.3,7.9,10.9
28/11/2021 11:37:43.004,265171,AM1V330 @393B30,35039,3E000E001F00,6.2,1.4,3.1
28/11/2021 11:37:43.064,265231,AM1V330 @393B30,35046,33003300E1FF,5.1,5.1,-3.1
28/11/2021 11:37:43.093,265259,AM1V330 @393B30,35052,8E0067001500,14.2,10.3,2.1
28/11/2021 11:37:43.154,265321,AM1V330 @393B30,35058,BA00A4008900,18.6,16.4,13.7
28/11/2021 11:37:43.214,265381,AM1V330 @393B30,35064,7B0110030102,37.9,78.4,51.3
28/11/2021 11:37:43.243,265409,AM1V330 @393B30,35071,950097068803,14.9,168.7,90.4
28/11/2021 11:37:43.334,265501,AM1V330 @393B30,35077,BC0199080604,44.4,220.1,103
28/11/2021 11:37:43.363,265529,AM1V330 @393B30,35083,D700200ABE04,21.5,259.2,121.4
28/11/2021 11:37:43.394,265560,AM1V330 @393B30,35089,76FF0F0ADD04,-13.8,257.5,124.5
28/11/2021 11:37:43.454,265621,AM1V330 @393B30,35096,BE00C10A8004,19,275.3,115.2
28/11/2021 11:37:43.514,265681,AM1V330 @393B30,35102,7202EC0B2C04,62.6,305.2,106.8
28/11/2021 11:37:43.543,265709,AM1V330 @393B30,35108,7201130CDC02,37,309.1,73.2
28/11/2021 11:37:43.604,265771,AM1V330 @393B30,35114,CD000C0ACC01,20.5,257.2,46
28/11/2021 11:37:43.663,265830,AM1V330 @393B30,35121,16028808CF00,53.4,218.4,20.7
28/11/2021 11:37:43.694,265860,AM1V330 @393B30,35127,9300CB041000,14.7,122.7,1.6
28/11/2021 11:37:43.754,265921,AM1V330 @393B30,35133,DC006DFEDAFF,22,-40.3,-3.8
28/11/2021 11:37:43.814,265981,AM1V330 @393B30,35139,65FF8AF91CFF,-15.5,-165.4,-22.8
28/11/2021 11:37:43.844,266010,AM1V330 @393B30,35146,B9FE4FF643FE,-32.7,-248.1,-44.5
28/11/2021 11:37:43.904,266070,AM1V330 @393B30,35152,AEFFFEF4ADFD,-8.2,-281.8,-59.5
28/11/2021 11:37:43.964,266131,AM1V330 @393B30,35158,1200EFF42DFD,1.8,-283.3,-72.3
28/11/2021 11:37:43.993,266159,AM1V330 @393B30,35164,4BFFAAF573FC,-18.1,-264.6,-90.9
28/11/2021 11:37:44.054,266221,AM1V330 @393B30,35171,11FC55F7B3FB,-100.7,-221.9,-110.1
28/11/2021 11:37:44.113,266280,AM1V330 @393B30,35177,7FFFB4F514FB,-12.9,-263.6,-126
28/11/2021 11:37:44.144,266310,AM1V330 @393B30,35183,9BFE5BFAA0FB,-35.7,-144.5,-112
28/11/2021 11:37:44.204,266371,AM1V330 @393B30,35189,66FC80FAACFB,-92.2,-140.8,-110.8
28/11/2021 11:37:44.264,266431,AM1V330 @393B30,35196,8C0153FB00FE,39.6,-119.7,-51.2
28/11/2021 11:37:44.294,266460,AM1V330 @393B30,35202,1F01B3FCE9FE,28.7,-84.5,-27.9
28/11/2021 11:37:44.384,266551,AM1V330 @393B30,35208,9200EEFD10FF,14.6,-53,-24
28/11/2021 11:37:44.413,266579,AM1V330 @393B30,35214,6D02D0003B01,62.1,20.8,31.5
28/11/2021 11:37:44.444,266610,AM1V330 @393B30,35221,0203AA037202,77,93.8,62.6
28/11/2021 11:37:44.505,266671,AM1V330 @393B30,35227,CC0221072F03,71.6,182.5,81.5
28/11/2021 11:37:44.564,266731,AM1V330 @393B30,35233,920014098003,14.6,232.4,89.6
28/11/2021 11:37:44.594,266760,AM1V330 @393B30,35239,7E01B10A9403,38.2,273.7,91.6
28/11/2021 11:37:44.654,266821,AM1V330 @393B30,35246,01FF640B1703,-25.5,291.6,79.1
28/11/2021 11:37:44.714,266881,AM1V330 @393B30,35252,36FF150BB902,-20.2,283.7,69.7
28/11/2021 11:37:44.744,266910,AM1V330 @393B30,35258,3CFFCF09CA02,-19.6,251.1,71.4
28/11/2021 11:37:44.804,266971,AM1V330 @393B30,35264,58011B098F02,34.4,233.1,65.5
28/11/2021 11:37:44.864,267031,AM1V330 @393B30,35271,140139091202,27.6,236.1,53
28/11/2021 11:37:44.893,267059,AM1V330 @393B30,35277,360127085901,31,208.7,34.5
28/11/2021 11:37:44.954,267121,AM1V330 @393B30,35283,6A027903D300,61.8,88.9,21.1
28/11/2021 11:37:45.014,267181,AM1V330 @393B30,35289,D2FFF6FDCDFF,-4.6,-52.2,-5.1
28/11/2021 11:37:45.043,267209,AM1V330 @393B30,35296,F3FE7DF935FF,-26.9,-166.7,-20.3
28/11/2021 11:37:45.104,267271,AM1V330 @393B30,35302,78FE05F592FE,-39.2,-281.1,-36.6
28/11/2021 11:37:45.164,267331,AM1V330 @393B30,35308,B0FFDFF4C2FD,-8,-284.9,-57.4
28/11/2021 11:37:45.193,267359,AM1V330 @393B30,35314,AEFE8AF572FC,-33.8,-267.8,-91
28/11/2021 11:37:45.284,267451,AM1V330 @393B30,35321,FBFE8BF6A1FB,-26.1,-242.1,-111.9
