Logged started on,28/11/2021 11:33:17
Feature,Gyroscope
Nodes,AM1V330 @393B30

Date,HostTimestamp,NodeName,NodeTimestamp,RawData,X (dps),Y (dps),Z (dps)
28/11/2021 11:35:02.893,105072,AM1V330 @393B30,15021,A8000A001F00,16.8,1,3.1
28/11/2021 11:35:02.923,105089,AM1V330 @393B30,15027,72000800FCFF,11.4,0.8,-0.4
28/11/2021 11:35:02.983,105150,AM1V330 @393B30,15033,7D00CDFF2000,12.5,-5.1,3.2
28/11/2021 11:35:03.043,105210,AM1V330 @393B30,15039,2700CFFFF9FF,3.9,-4.9,-0.7
28/11/2021 11:35:03.072,105238,AM1V330 @393B30,15046,1E00F0FFF8FF,3,-1.6,-0.8
28/11/2021 11:35:03.133,105300,AM1V330 @393B30,15052,4600F3FF0E00,7,-1.3,1.4
28/11/2021 11:35:03.193,105360,AM1V330 @393B30,15058,51000F001D00,8.1,1.5,2.9
28/11/2021 11:35:03.223,105390,AM1V330 @393B30,15064,1B013600B100,28.3,5.4,17.7
28/11/2021 11:35:03.283,105450,AM1V330 @393B30,15071,85031D013F02,90.1,28.5,57.5
28/11/2021 11:35:03.342,105509,AM1V330 @393B30,15077,FB0257046C03,76.3,111.1,87.6
28/11/2021 11:35:03.373,105539,AM1V330 @393B30,15083,6400B707C503,10,197.5,96.5
28/11/2021 11:35:03.433,105599,AM1V330 @393B30,15089,2300710B2904,3.5,292.9,106.5
28/11/2021 11:35:03.493,105659,AM1V330 @393B30,15096,C4FEF90DCB03,-31.6,357.7,97.1
28/11/2021 11:35:03.523,105690,AM1V330 @393B30,15102,BDFD130FF903,-57.9,385.9,101.7
28/11/2021 11:35:03.583,105749,AM1V330 @393B30,15108,54010010F203,34,409.6,101
28/11/2021 11:35:03.643,105809,AM1V330 @393B30,15114,0401250E8302,26,362.1,64.3
28/11/2021 11:35:03.672,105838,AM1V330 @393B30,15121,C501BF0B7C01,45.3,300.7,38
28/11/2021 11:35:03.733,105900,AM1V330 @393B30,15127,E601FA052700,48.6,153,3.9
28/11/2021 11:35:03.793,105960,AM1V330 @393B30,15133,F00159FDDBFF,49.6,-67.9,-3.7
28/11/2021 11:35:03.823,105989,AM1V330 @393B30,15139,A2FFFAF757FF,-9.4,-205.4,-16.9
28/11/2021 11:35:03.883,106050,AM1V330 @393B30,15146,9900F8F36BFF,15.3,-308,-14.9
28/11/2021 11:35:03.943,106109,AM1V330 @393B30,15152,E7FEA9F2BEFE,-28.1,-341.5,-32.2
28/11/2021 11:35:03.972,106138,AM1V330 @393B30,15158,0FFEE0F1EAFD,-49.7,-361.6,-53.4
28/11/2021 11:35:04.032,106199,AM1V330 @393B30,15164,D5FAE0F2EBFB,-132.3,-336,-104.5
28/11/2021 11:35:04.093,106260,AM1V330 @393B30,15171,E8FE0BF4A8FA,-28,-306.1,-136.8
28/11/2021 11:35:04.123,106290,AM1V330 @393B30,15177,82FEADF7C1FB,-38.2,-213.1,-108.7
28/11/2021 11:35:04.183,106350,AM1V330 @393B30,15183,79FF11F8B1FB,-13.5,-203.1,-110.3
28/11/2021 11:35:04.243,106409,AM1V330 @393B30,15189,D7FEDAF845FB,-29.7,-183,-121.1
28/11/2021 11:35:04.272,106438,AM1V330 @393B30,15196,F8FF5EF977FC,-0.8,-169.8,-90.5
28/11/2021 11:35:04.333,106500,AM1V330 @393B30,15202,BB0102FE82FF,44.3,-51,-12.6
28/11/2021 11:35:04.393,106559,AM1V330 @393B30,15208,21007C01B5FF,3.3,38,-7.5
28/11/2021 11:35:04.423,106590,AM1V330 @393B30,15214,B601B3012601,43.8,43.5,29.4
28/11/2021 11:35:04.483,106650,AM1V330 @393B30,15221,05049E04D002,102.9,118.2,72
