Logged started on,28/11/2021 11:33:17
Feature,Magnetometer
Nodes,AM1V330 @393B30

Date,HostTimestamp,NodeName,NodeTimestamp,RawData,X (mGa),Y (mGa),Z (mGa)
28/11/2021 11:35:02.893,105074,AM1V330 @393B30,15021,08FD7C026F00,-760,636,111
28/11/2021 11:35:02.923,105089,AM1V330 @393B30,15027,06FD79026700,-762,633,103
28/11/2021 11:35:02.983,105150,AM1V330 @393B30,15033,00FD73026F00,-768,627,111
28/11/2021 11:35:03.043,105209,AM1V330 @393B30,15039,09FD7D027000,-759,637,112
28/11/2021 11:35:03.072,105238,AM1V330 @393B30,15046,0CFD7A027600,-756,634,118
28/11/2021 11:35:03.133,105300,AM1V330 @393B30,15052,02FD7D027300,-766,637,115
28/11/2021 11:35:03.193,105360,AM1V330 @393B30,15058,09FD79027200,-759,633,114
28/11/2021 11:35:03.223,105390,AM1V330 @393B30,15064,03FD76028400,-765,630,132
28/11/2021 11:35:03.283,105450,AM1V330 @393B30,15071,06FD5E029D00,-762,606,157
28/11/2021 11:35:03.342,105509,AM1V330 @393B30,15077,F1FC4C02CC00,-783,588,204
28/11/2021 11:35:03.373,105539,AM1V330 @393B30,15083,F1FC0E02F100,-783,526,241
28/11/2021 11:35:03.433,105599,AM1V330 @393B30,15089,EAFCC8011401,-790,456,276
28/11/2021 11:35:03.493,105660,AM1V330 @393B30,15096,F3FC66011A01,-781,358,282
28/11/2021 11:35:03.523,105690,AM1V330 @393B30,15102,FAFCEB00DE00,-774,235,222
28/11/2021 11:35:03.583,105749,AM1V330 @393B30,15108,17FD9C00A000,-745,156,160
28/11/2021 11:35:03.643,105810,AM1V330 @393B30,15114,35FD6D006400,-715,109,100
28/11/2021 11:35:03.672,105838,AM1V330 @393B30,15121,3FFD5D001C00,-705,93,28
28/11/2021 11:35:03.733,105900,AM1V330 @393B30,15127,3CFD6F000100,-708,111,1
28/11/2021 11:35:03.793,105960,AM1V330 @393B30,15133,35FD60001900,-715,96,25
28/11/2021 11:35:03.823,105990,AM1V330 @393B30,15139,39FD60003100,-711,96,49
28/11/2021 11:35:03.883,106050,AM1V330 @393B30,15146,30FD70008200,-720,112,130
28/11/2021 11:35:03.943,106109,AM1V330 @393B30,15152,26FD8D00BD00,-730,141,189
28/11/2021 11:35:03.972,106138,AM1V330 @393B30,15158,12FDC600F400,-750,198,244
28/11/2021 11:35:04.032,106199,AM1V330 @393B30,15164,F1FC2701FF00,-783,295,255
28/11/2021 11:35:04.093,106260,AM1V330 @393B30,15171,D3FC8C01F000,-813,396,240
28/11/2021 11:35:04.123,106289,AM1V330 @393B30,15177,D2FCCF01C700,-814,463,199
28/11/2021 11:35:04.183,106350,AM1V330 @393B30,15183,D8FC0B029F00,-808,523,159
28/11/2021 11:35:04.243,106409,AM1V330 @393B30,15189,F1FC43027600,-783,579,118
28/11/2021 11:35:04.272,106438,AM1V330 @393B30,15196,FCFC6E024C00,-772,622,76
28/11/2021 11:35:04.333,106500,AM1V330 @393B30,15202,03FD73024900,-765,627,73
28/11/2021 11:35:04.393,106559,AM1V330 @393B30,15208,0EFD77024E00,-754,631,78
28/11/2021 11:35:04.423,106589,AM1V330 @393B30,15214,06FD6D025B00,-762,621,91
28/11/2021 11:35:04.483,106650,AM1V330 @393B30,15221,F1FC58029400,-783,600,148
28/11/2021 11:35:04.543,106710,AM1V330 @393B30,15227,EDFC3202E400,-787,562,228
28/11/2021 11:35:04.572,106738,AM1V330 @393B30,15233,EBFCF2010201,-789,498,258
28/11/2021 11:35:04.633,106800,AM1V330 @393B30,15239,E4FC98011A01,-796,408,282
28/11/2021 11:35:04.693,106860,AM1V330 @393B30,15246,F6FC36011E01,-778,310,286
28/11/2021 11:35:04.723,106890,AM1V330 @393B30,15252,0EFDD200F400,-754,210,244
28/11/2021 11:35:04.783,106950,AM1V330 @393B30,15258,26FD8E00B500,-730,142,181
28/11/2021 11:35:04.843,107009,AM1V330 @393B30,15264,35FD6A007500,-715,106,117
28/11/2021 11:35:04.872,107038,AM1V330 @393B30,15271,50FD4F001F00,-688,79,31
28/11/2021 11:35:04.933,107099,AM1V330 @393B30,15277,4DFD4C001B00,-691,76,27
28/11/2021 11:35:04.993,107159,AM1V330 @393B30,15283,42FD49003700,-702,73,55
28/11/2021 11:35:05.024,107190,AM1V330 @393B30,15289,2DFD5E005800,-723,94,88
28/11/2021 11:35:05.082,107249,AM1V330 @393B30,15296,2AFD73008E00,-726,115,142
28/11/2021 11:35:05.143,107310,AM1V330 @393B30,15302,0EFDA600CC00,-754,166,204
28/11/2021 11:35:05.172,107338,AM1V330 @393B30,15308,F7FCFA00FA00,-777,250,250
28/11/2021 11:35:05.234,107400,AM1V330 @393B30,15314,D0FC7E01EB00,-816,382,235
28/11/2021 11:35:05.293,107460,AM1V330 @393B30,15321,CDFCCC01BA00,-819,460,186
28/11/2021 11:35:05.323,107489,AM1V330 @393B30,15327,D2FC13028100,-814,531,129
28/11/2021 11:35:05.383,107550,AM1V330 @393B30,15333,EEFC47024C00,-786,583,76
28/11/2021 11:35:05.443,107610,AM1V330 @393B30,15339,FCFC62022A00,-772,610,42
28/11/2021 11:35:05.472,107639,AM1V330 @393B30,15346,02FD53022500,-766,595,37
28/11/2021 11:35:05.533,107700,AM1V330 @393B30,15352,FDFC5E025800,-771,606,88
28/11/2021 11:35:05.592,107759,AM1V330 @393B30,15358,EAFC46029C00,-790,582,156
28/11/2021 11:35:05.623,107790,AM1V330 @393B30,15364,EAFC0B02FA00,-790,523,250
28/11/2021 11:35:05.683,107850,AM1V330 @393B30,15371,DFFC9E010E01,-801,414,270
28/11/2021 11:35:05.743,107910,AM1V330 @393B30,15377,F6FC2F010801,-778,303,264
28/11/2021 11:35:05.772,107938,AM1V330 @393B30,15383,FDFCD200C600,-771,210,198
28/11/2021 11:35:05.833,108000,AM1V330 @393B30,15389,15FD91007300,-747,145,115
28/11/2021 11:35:05.893,108060,AM1V330 @393B30,15396,39FD66003C00,-711,102,60
28/11/2021 11:35:05.923,108090,AM1V330 @393B30,15402,30FD69001E00,-720,105,30
28/11/2021 11:35:05.983,108150,AM1V330 @393B30,15408,2CFD6C003C00,-724,108,60
28/11/2021 11:35:06.043,108210,AM1V330 @393B30,15414,24FD84007000,-732,132,112
28/11/2021 11:35:06.072,108238,AM1V330 @393B30,15421,0BFDB700B400,-757,183,180
28/11/2021 11:35:06.133,108300,AM1V330 @393B30,15427,FCFC0C01EE00,-772,268,238
28/11/2021 11:35:06.193,108359,AM1V330 @393B30,15433,F4FC6F011D01,-780,367,285
28/11/2021 11:35:06.223,108389,AM1V330 @393B30,15439,D2FCD701F100,-814,471,241
28/11/2021 11:35:06.283,108450,AM1V330 @393B30,15446,D8FC2902B200,-808,553,178
28/11/2021 11:35:06.343,108510,AM1V330 @393B30,15452,FDFC70026700,-771,624,103
28/11/2021 11:35:06.372,108538,AM1V330 @393B30,15458,0CFD7F022E00,-756,639,46
28/11/2021 11:35:06.432,108599,AM1V330 @393B30,15464,0EFD7A023000,-754,634,48
28/11/2021 11:35:06.493,108660,AM1V330 @393B30,15471,FAFC64026D00,-774,612,109
28/11/2021 11:35:06.523,108689,AM1V330 @393B30,15477,E8FC4002B800,-792,576,184
28/11/2021 11:35:06.583,108750,AM1V330 @393B30,15483,EDFCDD010C01,-787,477,268
28/11/2021 11:35:06.643,108810,AM1V330 @393B30,15489,EDFC71011E01,-787,369,286
28/11/2021 11:35:06.672,108838,AM1V330 @393B30,15496,F7FC0E010901,-777,270,265
28/11/2021 11:35:06.733,108900,AM1V330 @393B30,15502,20FDA300CC00,-736,163,204
28/11/2021 11:35:06.793,108960,AM1V330 @393B30,15508,3EFD70008800,-706,112,136
28/11/2021 11:35:06.823,108989,AM1V330 @393B30,15514,3CFD51005700,-708,81,87
28/11/2021 11:35:06.884,109050,AM1V330 @393B30,15521,39FD58005D00,-711,88,93
28/11/2021 11:35:06.942,109109,AM1V330 @393B30,15527,2CFD7E009A00,-724,126,154
28/11/2021 11:35:06.973,109139,AM1V330 @393B30,15533,0CFDB500D300,-756,181,211
28/11/2021 11:35:07.032,109199,AM1V330 @393B30,15539,FCFC18010E01,-772,280,270
28/11/2021 11:35:07.093,109259,AM1V330 @393B30,15546,EEFC8C013501,-786,396,309
28/11/2021 11:35:07.123,109289,AM1V330 @393B30,15552,E1FCDB010501,-799,475,261
28/11/2021 11:35:07.184,109350,AM1V330 @393B30,15558,E8FC3702B800,-792,567,184
28/11/2021 11:35:07.243,109410,AM1V330 @393B30,15564,FFFC7C024F00,-769,636,79
28/11/2021 11:35:07.272,109438,AM1V330 @393B30,15571,02FD67023300,-766,615,51
28/11/2021 11:35:07.332,109499,AM1V330 @393B30,15577,F7FC70026300,-777,624,99
28/11/2021 11:35:07.393,109560,AM1V330 @393B30,15583,F1FC6A028B00,-783,618,139
28/11/2021 11:35:07.423,109589,AM1V330 @393B30,15589,F3FC3102D800,-781,561,216
28/11/2021 11:35:07.483,109650,AM1V330 @393B30,15596,DCFCED010B01,-804,493,267
28/11/2021 11:35:07.542,109709,AM1V330 @393B30,15602,DBFC8A011401,-805,394,276
28/11/2021 11:35:07.573,109739,AM1V330 @393B30,15608,00FD02010001,-768,258,256
28/11/2021 11:35:07.633,109799,AM1V330 @393B30,15614,17FDAF00BE00,-745,175,190
28/11/2021 11:35:07.693,109859,AM1V330 @393B30,15621,24FD84006900,-732,132,105
28/11/2021 11:35:07.723,109889,AM1V330 @393B30,15627,2FFD73002B00,-721,115,43
28/11/2021 11:35:07.783,109949,AM1V330 @393B30,15633,23FD7B003300,-733,123,51
28/11/2021 11:35:07.843,110009,AM1V330 @393B30,15639,1BFD8B006C00,-741,139,108
28/11/2021 11:35:07.872,110038,AM1V330 @393B30,15646,08FDB400A200,-760,180,162
28/11/2021 11:35:07.933,110099,AM1V330 @393B30,15652,FDFCF9000301,-771,249,259
28/11/2021 11:35:07.993,110158,AM1V330 @393B30,15658,E7FC5D011B01,-793,349,283
28/11/2021 11:35:08.023,110189,AM1V330 @393B30,15664,E1FCBF010B01,-799,447,267
28/11/2021 11:35:08.083,110249,AM1V330 @393B30,15671,D6FC1D02AF00,-810,541,175
28/11/2021 11:35:08.143,110309,AM1V330 @393B30,15677,F3FC6D024800,-781,621,72
28/11/2021 11:35:08.173,110339,AM1V330 @393B30,15683,2CFD8502FEFF,-724,645,-2
28/11/2021 11:35:08.233,110399,AM1V330 @393B30,15689,0BFD6B021000,-757,619,16
28/11/2021 11:35:08.293,110459,AM1V330 @393B30,15696,FFFC6A024000,-769,618,64
28/11/2021 11:35:08.323,110489,AM1V330 @393B30,15702,DEFC40029300,-802,576,147
28/11/2021 11:35:08.383,110549,AM1V330 @393B30,15708,E5FCFF01D600,-795,511,214
28/11/2021 11:35:08.443,110609,AM1V330 @393B30,15714,D8FCBD01F400,-808,445,244
28/11/2021 11:35:08.472,110638,AM1V330 @393B30,15721,E8FC5A011501,-792,346,277
28/11/2021 11:35:08.533,110698,AM1V330 @393B30,15727,F7FCF3000001,-777,243,256
28/11/2021 11:35:08.593,110759,AM1V330 @393B30,15733,29FD8B00AF00,-727,139,175
28/11/2021 11:35:08.623,110789,AM1V330 @393B30,15739,39FD5A005E00,-711,90,94
28/11/2021 11:35:08.683,110848,AM1V330 @393B30,15746,4AFD4B002A00,-694,75,42
28/11/2021 11:35:08.743,110909,AM1V330 @393B30,15752,4DFD54003700,-691,84,55
28/11/2021 11:35:08.772,110938,AM1V330 @393B30,15758,36FD63006000,-714,99,96
28/11/2021 11:35:08.833,110999,AM1V330 @393B30,15764,1EFD7B008400,-738,123,132
28/11/2021 11:35:08.893,111058,AM1V330 @393B30,15771,0CFDBE00CC00,-756,190,204
28/11/2021 11:35:08.923,111089,AM1V330 @393B30,15777,E7FC0C010801,-793,268,264
28/11/2021 11:35:08.983,111149,AM1V330 @393B30,15783,DFFC7B011701,-801,379,279
28/11/2021 11:35:09.042,111208,AM1V330 @393B30,15789,D0FCCF01D900,-816,463,217
28/11/2021 11:35:09.072,111238,AM1V330 @393B30,15796,D2FC16029100,-814,534,145
28/11/2021 11:35:09.133,111299,AM1V330 @393B30,15802,FDFC58024900,-771,600,73
28/11/2021 11:35:09.192,111358,AM1V330 @393B30,15808,08FD74021200,-760,628,18
28/11/2021 11:35:09.223,111389,AM1V330 @393B30,15814,15FD65021500,-747,613,21
28/11/2021 11:35:09.282,111448,AM1V330 @393B30,15821,08FD6A023300,-760,618,51
28/11/2021 11:35:09.343,111509,AM1V330 @393B30,15827,E8FC59026A00,-792,601,106
28/11/2021 11:35:09.372,111538,AM1V330 @393B30,15833,E4FC2302CC00,-796,547,204
28/11/2021 11:35:09.433,111600,AM1V330 @393B30,15839,DCFCD401FD00,-804,468,253
28/11/2021 11:35:09.492,111659,AM1V330 @393B30,15846,F3FC74012901,-781,372,297
28/11/2021 11:35:09.523,111689,AM1V330 @393B30,15852,21FD03014701,-735,259,327
28/11/2021 11:35:09.583,111750,AM1V330 @393B30,15858,3CFD9F00F700,-708,159,247
28/11/2021 11:35:09.643,111810,AM1V330 @393B30,15864,51FD5100AB00,-687,81,171
28/11/2021 11:35:09.672,111838,AM1V330 @393B30,15871,63FD37004C00,-669,55,76
28/11/2021 11:35:09.733,111900,AM1V330 @393B30,15877,57FD3F001500,-681,63,21
28/11/2021 11:35:09.792,111959,AM1V330 @393B30,15883,4DFD4B002B00,-691,75,43
28/11/2021 11:35:09.823,111989,AM1V330 @393B30,15889,3FFD55005200,-705,85,82
28/11/2021 11:35:09.883,112050,AM1V330 @393B30,15896,24FD7C007E00,-732,124,126
28/11/2021 11:35:09.943,112110,AM1V330 @393B30,15902,11FDBB00DE00,-751,187,222
28/11/2021 11:35:09.972,112138,AM1V330 @393B30,15908,FAFC15010B01,-774,277,267
28/11/2021 11:35:10.033,112200,AM1V330 @393B30,15914,E1FC7E010C01,-799,382,268
28/11/2021 11:35:10.123,112290,AM1V330 @393B30,15921,DEFCE401ED00,-802,484,237
28/11/2021 11:35:10.142,112308,AM1V330 @393B30,15927,D5FC2602A200,-811,550,162
28/11/2021 11:35:10.183,112349,AM1V330 @393B30,15933,EDFC49025800,-787,585,88
28/11/2021 11:35:10.243,112410,AM1V330 @393B30,15939,F3FC5C023100,-781,604,49
28/11/2021 11:35:10.272,112438,AM1V330 @393B30,15946,F3FC61022A00,-781,609,42
28/11/2021 11:35:10.333,112500,AM1V330 @393B30,15952,F7FC5E025400,-777,606,84
28/11/2021 11:35:10.393,112560,AM1V330 @393B30,15958,E8FC3702AC00,-792,567,172
28/11/2021 11:35:10.423,112589,AM1V330 @393B30,15964,E8FCFC010801,-792,508,264
28/11/2021 11:35:10.483,112650,AM1V330 @393B30,15971,EBFC9B012601,-789,411,294
28/11/2021 11:35:10.543,112710,AM1V330 @393B30,15977,0BFD45014101,-757,325,321
