Logged started on,05/11/2021 12:09:35
Feature,Accelerometer
Nodes,AM1V330 @393B30

Date,HostTimestamp,NodeName,NodeTimestamp,RawData,X (mg),Y (mg),Z (mg)
05/11/2021 12:14:52.800,316859,AM1V330 @393B30,41310,CDFDBB022302,-563,699,547
05/11/2021 12:14:52.858,316909,AM1V330 @393B30,41316,73FDC5021702,-653,709,535
05/11/2021 12:14:52.888,316939,AM1V330 @393B30,41322,13FD3703ED01,-749,823,493
05/11/2021 12:14:52.948,316999,AM1V330 @393B30,41328,1CFDA5021E02,-740,677,542
05/11/2021 12:14:53.008,317059,AM1V330 @393B30,41335,A9FD79023402,-599,633,564
05/11/2021 12:14:53.036,317087,AM1V330 @393B30,41341,4FFE5A02E901,-433,602,489
05/11/2021 12:14:53.098,317149,AM1V330 @393B30,41347,90FE22025002,-368,546,592
05/11/2021 12:14:53.157,317208,AM1V330 @393B30,41353,C9FE05025F03,-311,517,863
05/11/2021 12:14:53.188,317239,AM1V330 @393B30,41360,4BFE7B01A003,-437,379,928
05/11/2021 12:14:53.247,317298,AM1V330 @393B30,41366,E8FD31025A03,-536,561,858
05/11/2021 12:14:53.308,317359,AM1V330 @393B30,41372,BDFD32016F03,-579,306,879
05/11/2021 12:14:53.335,317385,AM1V330 @393B30,41378,DFFD4F01E901,-545,335,489
05/11/2021 12:14:53.398,317448,AM1V330 @393B30,41385,86FD12021002,-634,530,528
05/11/2021 12:14:53.458,317509,AM1V330 @393B30,41391,0BFEF901EF01,-501,505,495
05/11/2021 12:14:53.488,317539,AM1V330 @393B30,41397,9DFDC6025502,-611,710,597
05/11/2021 12:14:53.547,317598,AM1V330 @393B30,41403,7AFD5B03CE02,-646,859,718
05/11/2021 12:14:53.608,317659,AM1V330 @393B30,41410,32FD3003BE02,-718,816,702
05/11/2021 12:14:53.636,317687,AM1V330 @393B30,41416,04FD2003B502,-764,800,693
05/11/2021 12:14:53.698,317749,AM1V330 @393B30,41422,3EFD5B03E403,-706,859,996
05/11/2021 12:14:53.758,317809,AM1V330 @393B30,41428,E4FC06039C04,-796,774,1180
05/11/2021 12:14:53.788,317839,AM1V330 @393B30,41435,3DFC46036B04,-963,838,1131
05/11/2021 12:14:53.848,317899,AM1V330 @393B30,41441,15FC22020004,-1003,546,1024
05/11/2021 12:14:53.908,317959,AM1V330 @393B30,41447,B2FCA3014603,-846,419,838
05/11/2021 12:14:53.938,317989,AM1V330 @393B30,41453,C9FC32010A03,-823,306,778
05/11/2021 12:14:53.998,318049,AM1V330 @393B30,41460,1FFEE400CA01,-481,228,458
05/11/2021 12:14:54.056,318107,AM1V330 @393B30,41466,89FEB6006401,-375,182,356
05/11/2021 12:14:54.089,318139,AM1V330 @393B30,41472,DFFE7C003201,-289,124,306
05/11/2021 12:14:54.146,318197,AM1V330 @393B30,41478,D4FFEAFF9C01,-44,-22,412
05/11/2021 12:14:54.206,318257,AM1V330 @393B30,41485,270005002D02,39,5,557
05/11/2021 12:14:54.236,318287,AM1V330 @393B30,41491,0800B5FF1903,8,-75,793
05/11/2021 12:14:54.299,318350,AM1V330 @393B30,41497,1400B2FF9F02,20,-78,671
05/11/2021 12:14:54.356,318407,AM1V330 @393B30,41503,E0FF9200CB02,-32,146,715
05/11/2021 12:14:54.387,318438,AM1V330 @393B30,41510,ACFF3500D802,-84,53,728
05/11/2021 12:14:54.448,318499,AM1V330 @393B30,41516,EDFFEFFFFA02,-19,-17,762
05/11/2021 12:14:54.508,318559,AM1V330 @393B30,41522,A9FF6B007703,-87,107,887
05/11/2021 12:14:54.538,318590,AM1V330 @393B30,41528,02001B00FF03,2,27,1023
05/11/2021 12:14:54.598,318649,AM1V330 @393B30,41535,E8FFA9FFA404,-24,-87,1188
05/11/2021 12:14:54.657,318708,AM1V330 @393B30,41541,390030003305,57,48,1331
05/11/2021 12:14:54.688,318739,AM1V330 @393B30,41547,E1FF64FF8E05,-31,-156,1422
05/11/2021 12:14:54.748,318799,AM1V330 @393B30,41553,2F00A5FF8F05,47,-91,1423
05/11/2021 12:14:54.809,318860,AM1V330 @393B30,41560,70000600EA05,112,6,1514
05/11/2021 12:14:54.838,318889,AM1V330 @393B30,41566,2B00F8FF9B06,43,-8,1691
05/11/2021 12:14:54.898,318949,AM1V330 @393B30,41572,E7FF0B007B06,-25,11,1659
05/11/2021 12:14:54.958,319009,AM1V330 @393B30,41578,09003100C105,9,49,1473
05/11/2021 12:14:54.988,319039,AM1V330 @393B30,41585,050044008104,5,68,1153
05/11/2021 12:14:55.048,319099,AM1V330 @393B30,41591,5A006D00D303,90,109,979
05/11/2021 12:14:55.108,319159,AM1V330 @393B30,41597,EDFF7400C302,-19,116,707
05/11/2021 12:14:55.138,319189,AM1V330 @393B30,41603,1E005E008202,30,94,642
05/11/2021 12:14:55.198,319249,AM1V330 @393B30,41610,8900E1FF7002,137,-31,624
05/11/2021 12:14:55.258,319309,AM1V330 @393B30,41616,86001000F302,134,16,755
05/11/2021 12:14:55.288,319338,AM1V330 @393B30,41622,5900B6FF1403,89,-74,788
05/11/2021 12:14:55.348,319399,AM1V330 @393B30,41628,640015000903,100,21,777
05/11/2021 12:14:55.408,319459,AM1V330 @393B30,41635,50003E00C902,80,62,713
05/11/2021 12:14:55.438,319489,AM1V330 @393B30,41641,32007E005A02,50,126,602
05/11/2021 12:14:55.495,319545,AM1V330 @393B30,41647,220043005B02,34,67,603
05/11/2021 12:14:55.558,319609,AM1V330 @393B30,41653,1C00FCFFC202,28,-4,706
05/11/2021 12:14:55.587,319638,AM1V330 @393B30,41660,1A0005005403,26,5,852
05/11/2021 12:14:55.648,319699,AM1V330 @393B30,41666,4200B1FFD203,66,-79,978
05/11/2021 12:14:55.705,319757,AM1V330 @393B30,41672,12000000D803,18,0,984
05/11/2021 12:14:55.738,319789,AM1V330 @393B30,41678,F7FFFEFF7B04,-9,-2,1147
05/11/2021 12:14:55.797,319848,AM1V330 @393B30,41685,1500A4FFBC04,21,-92,1212
05/11/2021 12:14:55.856,319907,AM1V330 @393B30,41691,3B00A4FF0905,59,-92,1289
05/11/2021 12:14:55.887,319937,AM1V330 @393B30,41697,FEFF56FF6205,-2,-170,1378
05/11/2021 12:14:55.948,319999,AM1V330 @393B30,41703,0500C3FF2D06,5,-61,1581
05/11/2021 12:14:56.008,320059,AM1V330 @393B30,41710,E3FF7FFF4F06,-29,-129,1615
05/11/2021 12:14:56.038,320089,AM1V330 @393B30,41716,0400ABFFE906,4,-85,1769
05/11/2021 12:14:56.097,320148,AM1V330 @393B30,41722,000088FF4606,0,-120,1606
05/11/2021 12:14:56.158,320209,AM1V330 @393B30,41728,F7FFCCFF6705,-9,-52,1383
05/11/2021 12:14:56.188,320239,AM1V330 @393B30,41735,C3FFFCFF9D04,-61,-4,1181
05/11/2021 12:14:56.248,320299,AM1V330 @393B30,41741,E7FF1C00B603,-25,28,950
05/11/2021 12:14:56.308,320359,AM1V330 @393B30,41747,8E00AD00C102,142,173,705
05/11/2021 12:14:56.337,320389,AM1V330 @393B30,41753,16000B00F501,22,11,501
05/11/2021 12:14:56.397,320448,AM1V330 @393B30,41760,3D00D0FF7F02,61,-48,639
05/11/2021 12:14:56.458,320509,AM1V330 @393B30,41766,6200ACFF8C02,98,-84,652
05/11/2021 12:14:56.488,320539,AM1V330 @393B30,41772,5400B5FFAE02,84,-75,686
05/11/2021 12:14:56.548,320599,AM1V330 @393B30,41778,6700C6FFA102,103,-58,673
05/11/2021 12:14:56.606,320657,AM1V330 @393B30,41785,5E00EDFF6702,94,-19,615
05/11/2021 12:14:56.638,320689,AM1V330 @393B30,41791,B100D6FF2002,177,-42,544
05/11/2021 12:14:56.698,320749,AM1V330 @393B30,41797,4D001B002702,77,27,551
05/11/2021 12:14:56.758,320809,AM1V330 @393B30,41803,5C0015008702,92,21,647
05/11/2021 12:14:56.788,320839,AM1V330 @393B30,41810,8B0004004703,139,4,839
05/11/2021 12:14:56.848,320899,AM1V330 @393B30,41816,5E0024006E03,94,36,878
05/11/2021 12:14:56.908,320959,AM1V330 @393B30,41822,E2FF07001804,-30,7,1048
05/11/2021 12:14:56.935,320986,AM1V330 @393B30,41828,FBFF4700AC04,-5,71,1196
05/11/2021 12:14:56.998,321049,AM1V330 @393B30,41835,0F008BFF7B05,15,-117,1403
05/11/2021 12:14:57.058,321109,AM1V330 @393B30,41841,0E0074FF6205,14,-140,1378
05/11/2021 12:14:57.088,321139,AM1V330 @393B30,41847,2000EBFFD205,32,-21,1490
05/11/2021 12:14:57.148,321199,AM1V330 @393B30,41853,EDFFFDFF2606,-19,-3,1574
05/11/2021 12:14:57.208,321259,AM1V330 @393B30,41860,000011009A06,0,17,1690
05/11/2021 12:14:57.237,321287,AM1V330 @393B30,41866,98FFD2FF8F07,-104,-46,1935
05/11/2021 12:14:57.298,321349,AM1V330 @393B30,41872,5CFFA0FF1306,-164,-96,1555
05/11/2021 12:14:57.357,321408,AM1V330 @393B30,41878,FBFF3A000205,-5,58,1282
05/11/2021 12:14:57.388,321439,AM1V330 @393B30,41885,DEFF47005404,-34,71,1108
05/11/2021 12:14:57.448,321499,AM1V330 @393B30,41891,DBFFA1FFD403,-37,-95,980
05/11/2021 12:14:57.508,321559,AM1V330 @393B30,41897,0F00B4FF5902,15,-76,601
05/11/2021 12:14:57.538,321589,AM1V330 @393B30,41903,55008E002802,85,142,552
05/11/2021 12:14:57.598,321649,AM1V330 @393B30,41910,39003E009D02,57,62,669
05/11/2021 12:14:57.656,321707,AM1V330 @393B30,41916,1D00F3FFF502,29,-13,757
05/11/2021 12:14:57.686,321737,AM1V330 @393B30,41922,2D00FCFFEF02,45,-4,751
05/11/2021 12:14:57.747,321798,AM1V330 @393B30,41928,4600F8FF7402,70,-8,628
05/11/2021 12:14:57.808,321859,AM1V330 @393B30,41935,7D00F6FFD501,125,-10,469
05/11/2021 12:14:57.836,321887,AM1V330 @393B30,41941,690035007D01,105,53,381
05/11/2021 12:14:57.898,321949,AM1V330 @393B30,41947,230007008001,35,7,384
05/11/2021 12:14:57.958,322010,AM1V330 @393B30,41953,41000300A402,65,3,676
05/11/2021 12:14:57.988,322039,AM1V330 @393B30,41960,0F00CDFF8903,15,-51,905
05/11/2021 12:14:58.048,322099,AM1V330 @393B30,41966,3C000F00D704,60,15,1239
05/11/2021 12:14:58.108,322159,AM1V330 @393B30,41972,0600FDFFE804,6,-3,1256
05/11/2021 12:14:58.137,322187,AM1V330 @393B30,41978,21001D001A05,33,29,1306
05/11/2021 12:14:58.198,322249,AM1V330 @393B30,41985,2E0054006E05,46,84,1390
05/11/2021 12:14:58.258,322309,AM1V330 @393B30,41991,5D00DA006205,93,218,1378
05/11/2021 12:14:58.287,322338,AM1V330 @393B30,41997,FEFFFDFF0A06,-2,-3,1546
05/11/2021 12:14:58.346,322397,AM1V330 @393B30,42003,73002C004806,115,44,1608
05/11/2021 12:14:58.408,322459,AM1V330 @393B30,42010,CFFFF0FF1407,-49,-16,1812
05/11/2021 12:14:58.438,322488,AM1V330 @393B30,42016,1200DCFF9606,18,-36,1686
05/11/2021 12:14:58.498,322548,AM1V330 @393B30,42022,B9FFBFFF0C06,-71,-65,1548
05/11/2021 12:14:58.556,322607,AM1V330 @393B30,42028,0700EFFF4E04,7,-17,1102
05/11/2021 12:14:58.588,322639,AM1V330 @393B30,42035,E7FF95001204,-25,149,1042
05/11/2021 12:14:58.648,322699,AM1V330 @393B30,42041,4E004F002D03,78,79,813
05/11/2021 12:14:58.708,322759,AM1V330 @393B30,42047,DDFF4600C802,-35,70,712
05/11/2021 12:14:58.738,322789,AM1V330 @393B30,42053,E5FF09005C02,-27,9,604
05/11/2021 12:14:58.798,322849,AM1V330 @393B30,42060,63006F00A702,99,111,679
05/11/2021 12:14:58.856,322907,AM1V330 @393B30,42066,F8FF23008802,-8,35,648
05/11/2021 12:14:58.887,322937,AM1V330 @393B30,42072,0700D9FFF402,7,-39,756
05/11/2021 12:14:58.948,322999,AM1V330 @393B30,42078,3C00E3FFD002,60,-29,720
05/11/2021 12:14:59.008,323059,AM1V330 @393B30,42085,6500CDFF8002,101,-51,640
05/11/2021 12:14:59.038,323088,AM1V330 @393B30,42091,810005002502,129,5,549
05/11/2021 12:14:59.095,323147,AM1V330 @393B30,42097,100038006702,16,56,615
05/11/2021 12:14:59.158,323209,AM1V330 @393B30,42103,D6FF00009A02,-42,0,666
05/11/2021 12:14:59.188,323239,AM1V330 @393B30,42110,D2FF4C001803,-46,76,792
05/11/2021 12:14:59.248,323299,AM1V330 @393B30,42116,5500DCFF8D03,85,-36,909
05/11/2021 12:14:59.307,323358,AM1V330 @393B30,42122,CFFF81004A04,-49,129,1098
05/11/2021 12:14:59.336,323387,AM1V330 @393B30,42128,5C002C002604,92,44,1062
05/11/2021 12:14:59.398,323449,AM1V330 @393B30,42135,1800FEFF8904,24,-2,1161
05/11/2021 12:14:59.458,323509,AM1V330 @393B30,42141,EF0014001C05,239,20,1308
05/11/2021 12:14:59.486,323537,AM1V330 @393B30,42147,AB00F3FF4E05,171,-13,1358
05/11/2021 12:14:59.548,323599,AM1V330 @393B30,42153,AD001F000206,173,31,1538
05/11/2021 12:14:59.608,323658,AM1V330 @393B30,42160,15006500F105,21,101,1521
05/11/2021 12:14:59.638,323689,AM1V330 @393B30,42166,BE005700F206,190,87,1778
05/11/2021 12:14:59.696,323747,AM1V330 @393B30,42172,850092004806,133,146,1608
05/11/2021 12:14:59.758,323809,AM1V330 @393B30,42178,4800FDFF1806,72,-3,1560
05/11/2021 12:14:59.788,323838,AM1V330 @393B30,42185,F3FFE5FFA505,-13,-27,1445
05/11/2021 12:14:59.848,323899,AM1V330 @393B30,42191,E0FF48009504,-32,72,1173
05/11/2021 12:14:59.908,323959,AM1V330 @393B30,42197,AAFF96009703,-86,150,919
05/11/2021 12:14:59.938,323989,AM1V330 @393B30,42203,E5FF71000103,-27,113,769
05/11/2021 12:15:00.028,324079,AM1V330 @393B30,42210,2E004900F502,46,73,757
05/11/2021 12:15:00.058,324109,AM1V330 @393B30,42216,FFFF2E00BF02,-1,46,703
05/11/2021 12:15:00.087,324137,AM1V330 @393B30,42222,1A00A3FF9502,26,-93,661
05/11/2021 12:15:00.148,324200,AM1V330 @393B30,42228,4000F0FF6B02,64,-16,619
05/11/2021 12:15:00.208,324259,AM1V330 @393B30,42235,8F0016005F02,143,22,607
05/11/2021 12:15:00.238,324288,AM1V330 @393B30,42241,A40015006402,164,21,612
05/11/2021 12:15:00.296,324348,AM1V330 @393B30,42247,9800FEFF5202,152,-2,594
05/11/2021 12:15:00.358,324409,AM1V330 @393B30,42253,7C0002007002,124,2,624
05/11/2021 12:15:00.388,324439,AM1V330 @393B30,42260,D7FF20005102,-41,32,593
