Logged started on,05/11/2021 12:09:35
Feature,Magnetometer
Nodes,AM1V330 @393B30

Date,HostTimestamp,NodeName,NodeTimestamp,RawData,X (mGa),Y (mGa),Z (mGa)
05/11/2021 12:14:24.867,288932,AM1V330 @393B30,37816,DAFD06038CFF,-550,774,-116
05/11/2021 12:14:24.897,288948,AM1V330 @393B30,37822,D7FD10038EFF,-553,784,-114
05/11/2021 12:14:24.958,289008,AM1V330 @393B30,37828,D5FD010376FF,-555,769,-138
05/11/2021 12:14:25.018,289069,AM1V330 @393B30,37835,DBFDF8024CFF,-549,760,-180
05/11/2021 12:14:25.047,289098,AM1V330 @393B30,37841,E0FDEB0234FF,-544,747,-204
05/11/2021 12:14:25.107,289158,AM1V330 @393B30,37847,EAFDE30213FF,-534,739,-237
05/11/2021 12:14:25.167,289218,AM1V330 @393B30,37853,E6FDD702FBFE,-538,727,-261
05/11/2021 12:14:25.198,289248,AM1V330 @393B30,37860,FCFDC402DAFE,-516,708,-294
05/11/2021 12:14:25.258,289309,AM1V330 @393B30,37866,10FEB202BDFE,-496,690,-323
05/11/2021 12:14:25.317,289367,AM1V330 @393B30,37872,10FEA702B3FE,-496,679,-333
05/11/2021 12:14:25.348,289398,AM1V330 @393B30,37878,13FEA4029EFE,-493,676,-354
05/11/2021 12:14:25.408,289459,AM1V330 @393B30,37885,22FE91028CFE,-478,657,-372
05/11/2021 12:14:25.468,289519,AM1V330 @393B30,37891,1CFE85028DFE,-484,645,-371
05/11/2021 12:14:25.495,289546,AM1V330 @393B30,37897,16FE7F027BFE,-490,639,-389
05/11/2021 12:14:25.558,289608,AM1V330 @393B30,37903,05FE770278FE,-507,631,-392
05/11/2021 12:14:25.618,289669,AM1V330 @393B30,37910,E6FD61027DFE,-538,609,-387
05/11/2021 12:14:25.647,289698,AM1V330 @393B30,37916,E4FD5F0277FE,-540,607,-393
05/11/2021 12:14:25.705,289756,AM1V330 @393B30,37922,E4FD5F026FFE,-540,607,-401
05/11/2021 12:14:25.768,289818,AM1V330 @393B30,37928,DEFD610277FE,-546,609,-393
05/11/2021 12:14:25.798,289848,AM1V330 @393B30,37935,DDFD50027AFE,-547,592,-390
05/11/2021 12:14:25.858,289909,AM1V330 @393B30,37941,D5FD59026FFE,-555,601,-401
05/11/2021 12:14:25.915,289966,AM1V330 @393B30,37947,D5FD4F026BFE,-555,591,-405
05/11/2021 12:14:25.948,289998,AM1V330 @393B30,37953,D1FD4C0268FE,-559,588,-408
05/11/2021 12:14:26.008,290059,AM1V330 @393B30,37960,DAFD430266FE,-550,579,-410
05/11/2021 12:14:26.068,290119,AM1V330 @393B30,37966,E6FD380262FE,-538,568,-414
05/11/2021 12:14:26.097,290148,AM1V330 @393B30,37972,FBFD410253FE,-517,577,-429
05/11/2021 12:14:26.158,290209,AM1V330 @393B30,37978,10FE4D024DFE,-496,589,-435
05/11/2021 12:14:26.218,290269,AM1V330 @393B30,37985,23FE46024BFE,-477,582,-437
05/11/2021 12:14:26.247,290298,AM1V330 @393B30,37991,1FFE49023BFE,-481,585,-453
