ACC_X_AVG,ACC_Y_AVG,ACC_Z_AVG,GYR_X_AVG,GYR_Y_AVG,GYR_Z_AVG,MAG_X_AVG,MAG_Y_AVG,MAG_Z_AVG,ACC_X_Range,ACC_Y_Range,ACC_Z_Range,GYR_X_Range,GYR_Y_Range,GYR_Z_Range,MAG_X_Range,MAG_Y_Range,MAG_Z_Range
185.5833333,-18.95833333,950.4833333,27.26666667,-58.35833333,72.70833333,395.025,353.3333333,-1617.291667,1156,632,1779,1628,1447,1292,255,300,114
325.6416667,48.43333333,973.4833333,13.175,-15.85833333,10.375,301,303.8833333,-1633.033333,717,372,1676,1082,530,573,103,98,39
269.7916667,39.075,982.9416667,-1.2,-19.8,3.208333333,291.525,322.3416667,-1638.133333,750,398,1644,961,550,525,115,74,49
273.175,30.34166667,947.275,20.36666667,-30,-5.708333333,311.4916667,278.2833333,-1664.15,746,365,1695,1128,621,468,135,117,57
282.0333333,41.025,996.8666667,7.041666667,-31.41666667,0.241666667,313.7,251.8916667,-1674.533333,566,389,1704,643,618,578,109,153,35
253.75,59.45833333,935.2333333,14.94166667,-20.91666667,-6.416666667,300.05,243.6416667,-1679.75,545,331,1657,770,541,454,89,108,36
290.0916667,84.16666667,998.5333333,3.683333333,-31.48333333,-3.25,303.7333333,229.45,-1679.408333,749,360,1689,851,1012,479,123,124,50
313.3333333,102.925,906.525,8.25,-21.725,-5.341666667,296.7916667,178.3416667,-1694.725,680,244,1761,733,648,492,112,96,57
250.3666667,59.5,983.5666667,-0.275,19.025,32.16666667,321.4833333,208.7916667,-1696.283333,1083,399,1489,673,1363,1257,108,223,75
-341.875,173.75,931.0083333,110.6166667,-52.44166667,-46.59166667,254.375,358.6333333,-1564.391667,669,667,841,1397,1125,4183,282,636,337
-30.44166667,-48.90833333,1002.075,7.658333333,-17.225,46.75,501.7,303.8333333,-1825.3,1042,733,1428,1145,1982,2041,226,588,282
51.16666667,-24.98333333,972.7666667,12.41666667,-32.925,-2.308333333,474.1666667,166.3416667,-1884.025,394,462,1527,831,489,355,104,130,48
-12.75833333,22.26666667,999.4916667,13.09166667,-18.19166667,2.291666667,438.025,145.0916667,-1867.183333,450,474,1582,1250,536,577,143,89,59
107.6166667,39.125,1029.666667,17.28333333,-27.16666667,-11.675,415.1166667,63.1,-1887.925,587,394,1719,1000,781,460,167,77,77
50.79166667,46.63333333,986.9083333,-2.916666667,-26.525,13.04166667,393.0083333,78.19166667,-1869.033333,546,419,1595,938,700,552,156,95,54
96.4,24.5,975.175,20.375,-28.39166667,-7.166666667,399.35,51.66666667,-1895.1,503,399,1603,1069,482,516,96,123,46
33.53333333,-39.85,1010.558333,2.808333333,-13.56666667,-4.175,436.875,84.29166667,-1909.908333,571,348,1669,966,627,384,119,103,42
111.4083333,-43.775,1025.35,5.375,-31.04166667,-4.25,444.9333333,77.025,-1907.441667,931,578,1511,1499,785,794,147,94,50
84.70833333,-17.575,1003.166667,16.48333333,-17.79166667,-4.908333333,436.8166667,82.275,-1907.691667,451,421,1670,1317,836,536,115,87,45
29.51666667,14.73333333,975.825,33.475,5.108333333,138.9583333,423.2583333,89.68333333,-1894.625,547,717,1571,988,917,1385,219,248,93
-348.575,175.3166667,918.1583333,98.475,-26.50833333,-195.6083333,409.425,83.66666667,-1787.7,653,530,984,1537,1190,2172,347,562,362
-103.625,-71.50833333,1001.183333,-0.875,-12.05833333,104.2,491.1333333,527.6333333,-1507.141667,985,599,1391,1052,1027,2291,474,309,258
63.84166667,-33.36666667,993.1,7.05,-16.39166667,-3.133333333,319.9083333,444.6666667,-1616.15,628,471,1513,759,601,456,108,90,57
89.75,-61.05833333,984.2833333,9.966666667,-29.08333333,-7.291666667,333.35,440.7,-1633.941667,386,306,1465,834,651,403,54,81,44
109.0583333,-40.54166667,1025.108333,16.96666667,-18.80833333,-0.741666667,326.5,440.6333333,-1637.141667,430,310,1090,770,691,455,79,82,33
125.2416667,-40.00833333,988.7083333,4.691666667,-37.75833333,-5.975,331.6083333,432.9333333,-1646.533333,552,344,1324,1000,594,359,96,108,49
163.225,-54.66666667,993.525,3.141666667,-17.525,-2.308333333,340.35,397.4833333,-1672.591667,536,421,1534,1009,613,392,78,100,47
138.125,-38.45,1022.016667,5.833333333,-35.06666667,-6.683333333,328.0166667,416.925,-1679.458333,544,424,1558,843,559,493,79,103,45
104.525,-88.65,981.0083333,14.93333333,-16.275,-1.325,349.85,416.625,-1685.3,519,571,1647,855,704,437,108,139,39
92.48333333,-95.10833333,1004.825,11.49166667,-28.53333333,-7.966666667,358.85,422.0916667,-1693.491667,515,420,1476,1225,1152,430,111,153,66
114.8083333,-83.525,1020.116667,3.008333333,-25.825,9.225,352.4833333,408.95,-1696.391667,512,434,1421,844,882,481,90,95,29
-88.69166667,4.908333333,975.9833333,-9.9,66.14166667,186.5416667,330.3333333,379.625,-1677.883333,979,846,1485,1411,1251,3436,341,331,165
-421.2583333,113.0166667,842.4833333,174.325,-137.0666667,-266.8833333,426.3916667,646.5083333,-1476.875,1499,1053,781,1663,1693,2214,530,542,358
-50.29166667,-64.975,943.3166667,-9.358333333,-176.1083333,132.1083333,-205.2083333,485.8666667,-1450.3,1523,800,1388,1738,1910,1796,504,472,450
272.45,53.53333333,945.3,7.05,-28.11666667,8.266666667,-359.2416667,355.6666667,-1510.883333,631,326,1405,949,779,582,106,102,66
351.875,62.925,941.8166667,1.25,-24.43333333,11.58333333,-374.675,340.6666667,-1504.616667,760,474,1325,1129,1181,684,129,105,66
370.7,-16.775,968.3333333,15.51666667,-24.70833333,-11.16666667,-338.55,343.3,-1505.766667,652,409,1276,737,744,538,90,86,91
410.075,-16.78333333,911.9833333,9.166666667,-23.91666667,0.066666667,-329.7083333,305.8666667,-1536.883333,975,384,1172,868,937,660,129,156,84
401.5833333,-31.03333333,922.75,-1.341666667,-14.96666667,-8.3,-319.4166667,319.525,-1556.783333,824,347,1130,1164,717,742,120,123,82
339.125,-30.425,954.55,12.84166667,-29.15833333,3.641666667,-322.9,364.7,-1561.525,612,408,1304,1142,721,552,114,107,54
288.375,-38.51666667,971.625,5.891666667,-17.86666667,-10.58333333,-323.3166667,393.6666667,-1565.316667,543,305,1394,639,715,473,57,112,57
300.0166667,-65.31666667,966.775,8.941666667,-19.93333333,-0.275,-310.2166667,378.1666667,-1571.775,624,333,1232,744,823,739,81,117,44
358.7,-90.04166667,949.975,8.783333333,-28.725,-4.241666667,-292.9416667,356.7583333,-1572.966667,634,375,1390,592,772,486,63,126,47
-456.1333333,-273.0916667,717.45,36.49166667,156.525,109.275,-118.3416667,595.375,-1478.166667,1624,1305,1050,2492,2557,3570,627,684,428
431.4416667,-147.2,860.1416667,23.45833333,-75.75,-13.55833333,544.8166667,71.4,-1384.241667,776,398,943,922,1336,439,86,309,108
427.9583333,-88.81666667,931.5333333,17.63333333,-15.81666667,-7.966666667,519.55,90.18333333,-1393.108333,621,400,1031,483,725,339,105,94,62
383.5083333,-112.2,919.1916667,1.175,-21.21666667,-1.108333333,538.3333333,115.2666667,-1394.191667,642,443,1229,570,594,458,97,150,57
444.2,-79.55,893.2,8.683333333,-22.50833333,11.85833333,524.2333333,89.8,-1386.775,781,433,1289,684,863,466,103,121,52
389,-102.4666667,917.4083333,11.21666667,-33.99166667,-10.525,536.6166667,117.9666667,-1366.058333,677,512,1431,786,670,572,144,90,48
444.9083333,-101.8416667,897.1666667,16.63333333,-26.93333333,1.316666667,525.6333333,66.69166667,-1369.55,787,569,1382,609,864,593,107,105,50
437.4583333,-68.66666667,905.2166667,8.291666667,-24.73333333,-1.416666667,513.5416667,66.98333333,-1377.291667,834,481,1503,635,502,573,97,93,53
445.0333333,-87.225,905.8583333,13.16666667,-29.5,5.3,518.7916667,53.11666667,-1380.741667,917,467,1266,674,788,378,123,129,53
485.2916667,-77.24166667,865.6916667,4.491666667,-18.325,-3.525,512.3416667,23.20833333,-1382.983333,920,376,1373,631,755,503,79,114,60
508.325,-61.44166667,885.6833333,8.883333333,-28.50833333,-3.908333333,506.5833333,20.575,-1378.375,765,464,1539,673,724,715,114,155,65
-200.675,-450.9416667,677.5666667,-166.8333333,-61.34166667,49.81666667,685.35,259.2416667,-1290.35,1579,1382,1816,3419,3617,2597,680,795,464
-707.6,-126.4083333,585.35,259.4833333,-101.725,-82.15833333,584.3333333,526.0416667,-1102.466667,1644,1485,827,2470,2425,2442,465,495,494
-144.0666667,15.38333333,944.3833333,16.18333333,34.575,74.85833333,167.0333333,-46.33333333,-399.15,1098,801,1535,1974,965,1731,284,335,132
-222.2583333,-18.2,1015.875,5.991666667,-29.33333333,-2.091666667,217.425,-11.85833333,-399.35,544,465,1730,697,749,387,138,84,43
-251.275,-45.90833333,924.475,10,-20.85,2.575,238.5083333,13.13333333,-394.3916667,732,283,1506,789,740,574,103,115,37
-291.275,-43.56666667,1000.491667,10.19166667,-19.875,-1.333333333,237.8083333,24.6,-395.525,554,297,1361,838,769,459,75,87,32
-91.00833333,85.93333333,902.3666667,98.21666667,-16.25833333,27.94166667,184.6416667,-39.025,-372.875,1368,1201,1691,4085,4402,3016,532,349,264
331.1833333,191.25,897.4083333,-52.075,117.4583333,-70.75,87.5,-141.3583333,-348.225,971,1431,1288,4079,2066,3190,685,552,351
-199.2083333,150.7083333,992.5916667,2.316666667,-25.10833333,3.541666667,-196.4916667,80.43333333,-419.675,621,401,1397,867,626,417,64,90,45
